# 口令形状闸：一次性反向可判版（替代提交前那句被 echo 吞掉的断言）
# 命令：python3 /tmp/pwdshape-174539.py（cwd=泳道树 r45-lane，HEAD 7bb28240）
# 口径：masked=*** placeholder=<...> 配方占位 empty=空值 RAW=其余一切（须 0，非 0 本脚本退 1）
# 注：RAW 命中只印 文件:行＋值长＋md5 前 8，不印值本身——命中可能就是口令，档里不许留字节

[git show HEAD（本笔提交全量差异）] masked=9 placeholder=9 empty=0 RAW=1
  RAW命中 >> git show HEAD（本笔提交全量差异）:124: 值长=1 md5前8=833344d5
[docs/superpowers/specs/ledger/logs/B16ledger/20260923-144419/00-control-open.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledger/20260923-144419/00-run.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledger/20260923-144419/99-control-close.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledger/20260923-144419/M1-prepared-----------send.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledger/20260923-144419/M2----------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledger/20260923-144419/M3---------------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledger/20260923-144419/M4-----------fail-open.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledger/20260923-144419/M5------------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledger/20260923-144419/M6-------------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledger/20260923-144419/M7-sent----------crossed.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledger/20260923-144419/M8---------sent---.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerB/20260923-144845/00-control-open.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerB/20260923-144845/00-run.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerB/20260923-144845/99-control-close.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerB/20260923-144845/M10----0--------nil.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerB/20260923-144845/M11------------------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerB/20260923-144845/M12-OnSessionFinished--------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerB/20260923-144845/M13-runRetry-------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerB/20260923-144845/M14---------------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerB/20260923-144845/M15-----------ctx.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerB/20260923-144845/M16-----------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerB/20260923-144845/M17---------------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerB/20260923-144845/M18-----------1------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerB/20260923-144845/M19-------------------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerB/20260923-144845/M9-D7-post_comment-------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerC/20260923-145614/00-control-open.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerC/20260923-145614/00-run.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerC/20260923-145614/99-control-close.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerC/20260923-145614/M20-------effectWrite-unknown-------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerC/20260923-145614/M21----------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerC/20260923-145614/M22-isNeverExecuted----inject_timeout---.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerC/20260923-145614/M23---------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerC/20260923-145614/M24----------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerC/20260923-145614/M25-------Anchor-ButtonText.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerC/20260923-145614/M26------------.log] masked=0 placeholder=0 empty=0 RAW=0
[docs/superpowers/specs/ledger/logs/B16ledgerC/20260923-145614/M27--------------effectWrite.log] masked=0 placeholder=0 empty=0 RAW=0
